Tool,File,Line,Severity,Rule,Message
.NET(build),         /home/runner/work/code-scan/code-scan/target/CourseDisplayDto.cs,13,Warning,CS8618,Non-nullable property 'CourseTitle' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/VerifyCodeDTO.cs,11,Warning,CS8618,Non-nullable property 'Email' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/VerifyCodeDTO.cs,12,Warning,CS8618,Non-nullable property 'Code' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/CourseFaqDto.cs,13,Warning,CS8618,Non-nullable property 'FaqQuestion' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/CourseFaqDto.cs,14,Warning,CS8618,Non-nullable property 'FaqAnswer' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/UserRegisterDto.cs,23,Warning,CS8618,Non-nullable property 'FullName' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/UserRegisterDto.cs,25,Warning,CS8618,Non-nullable property 'Email' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/UserRegisterDto.cs,27,Warning,CS8618,Non-nullable property 'PhoneNumber' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/UserRegisterDto.cs,29,Warning,CS8618,Non-nullable property 'Password' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/UserRegisterDto.cs,31,Warning,CS8618,Non-nullable property 'ConfirmPassword' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
