"rule","engine","severity","tags","file","startLine","startColumn","endLine","endColumn","message","resources"
"eqeqeq","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1208,252,1208,254,"Expected '===' and instead saw '=='.","https://eslint.org/docs/latest/rules/eqeqeq"
"eqeqeq","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1208,296,1208,298,"Expected '===' and instead saw '=='.","https://eslint.org/docs/latest/rules/eqeqeq"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1224,9,1224,20,"Unexpected console statement. Only these console methods are allowed: warn, error.","https://eslint.org/docs/latest/rules/no-console"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1251,13,1251,24,"Unexpected console statement. Only these console methods are allowed: warn, error.","https://eslint.org/docs/latest/rules/no-console"
"no-unused-vars","eslint",2,"Recommended,ErrorProne,JavaScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1253,17,1253,26,"'simpleRec' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1263,13,1263,24,"Unexpected console statement. Only these console methods are allowed: warn, error.","https://eslint.org/docs/latest/rules/no-console"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1281,13,1281,24,"Unexpected console statement. Only these console methods are allowed: warn, error.","https://eslint.org/docs/latest/rules/no-console"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1293,9,1293,20,"Unexpected console statement. Only these console methods are allowed: warn, error.","https://eslint.org/docs/latest/rules/no-console"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1300,17,1300,28,"Unexpected console statement. Only these console methods are allowed: warn, error.","https://eslint.org/docs/latest/rules/no-console"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1314,9,1314,20,"Unexpected console statement. Only these console methods are allowed: warn, error.","https://eslint.org/docs/latest/rules/no-console"
"no-unused-vars","eslint",2,"Recommended,ErrorProne,JavaScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1341,43,1341,49,"'helper' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars"
"no-unused-vars","eslint",2,"Recommended,ErrorProne,JavaScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1377,49,1377,54,"'event' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars"
"no-unused-vars","eslint",2,"Recommended,ErrorProne,JavaScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1377,56,1377,62,"'helper' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1396,9,1396,20,"Unexpected console statement. Only these console methods are allowed: warn, error.","https://eslint.org/docs/latest/rules/no-console"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1408,17,1408,28,"Unexpected console statement. Only these console methods are allowed: warn, error.","https://eslint.org/docs/latest/rules/no-console"
"no-unused-vars","eslint",2,"Recommended,ErrorProne,JavaScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1424,21,1424,27,"'errors' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars"
"no-unused-vars","eslint",2,"Recommended,ErrorProne,JavaScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1436,42,1436,47,"'event' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars"
"no-unused-vars","eslint",2,"Recommended,ErrorProne,JavaScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1436,48,1436,54,"'helper' is defined but never used.","https://eslint.org/docs/latest/rules/no-unused-vars"
